Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Cell Line],Compound Name,Compound PubChem CID,Compound SMILES,Compound InChIKey,Compound Concentration (microMolar),Control Type,Comment [Control Type Comments],Channels
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,A1,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Cytochalasin D,5458428,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1=O)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O,SDZRWUKZFQQKKV-JHADDHBZSA-N  ,1,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,A2,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Cytochalasin D,5458428,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1=O)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O,SDZRWUKZFQQKKV-JHADDHBZSA-N  ,1,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,A3,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Cytochalasin D,5458428,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1=O)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O,SDZRWUKZFQQKKV-JHADDHBZSA-N  ,1,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,A4,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Cytochalasin D,5458428,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1=O)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O,SDZRWUKZFQQKKV-JHADDHBZSA-N  ,10,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,A5,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Cytochalasin D,5458428,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1=O)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O,SDZRWUKZFQQKKV-JHADDHBZSA-N  ,10,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,A6,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Cytochalasin D,5458428,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1=O)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O,SDZRWUKZFQQKKV-JHADDHBZSA-N  ,10,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,A7,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Cytochalasin D,5458428,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1=O)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O,SDZRWUKZFQQKKV-JHADDHBZSA-N  ,25,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,A8,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Cytochalasin D,5458428,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1=O)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O,SDZRWUKZFQQKKV-JHADDHBZSA-N  ,25,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,A9,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Cytochalasin D,5458428,CC1CC=CC2C(C(=C)C(C3C2(C(C=CC(C1=O)(C)O)OC(=O)C)C(=O)NC3CC4=CC=CC=C4)C)O,SDZRWUKZFQQKKV-JHADDHBZSA-N  ,25,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,B1,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,CK-869,3574452,COC1=CC(=C(C=C1)N2C(SCC2=O)C3=CC(=CC=C3)Br)OC,MVWNPZYLNLATCH-UHFFFAOYSA-N,10,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,B2,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,CK-869,3574452,COC1=CC(=C(C=C1)N2C(SCC2=O)C3=CC(=CC=C3)Br)OC,MVWNPZYLNLATCH-UHFFFAOYSA-N,10,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,B3,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,CK-869,3574452,COC1=CC(=C(C=C1)N2C(SCC2=O)C3=CC(=CC=C3)Br)OC,MVWNPZYLNLATCH-UHFFFAOYSA-N,10,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,B4,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,CK-869,3574452,COC1=CC(=C(C=C1)N2C(SCC2=O)C3=CC(=CC=C3)Br)OC,MVWNPZYLNLATCH-UHFFFAOYSA-N,25,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,B5,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,CK-869,3574452,COC1=CC(=C(C=C1)N2C(SCC2=O)C3=CC(=CC=C3)Br)OC,MVWNPZYLNLATCH-UHFFFAOYSA-N,25,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,B6,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,CK-869,3574452,COC1=CC(=C(C=C1)N2C(SCC2=O)C3=CC(=CC=C3)Br)OC,MVWNPZYLNLATCH-UHFFFAOYSA-N,25,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,B7,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,CK-869,3574452,COC1=CC(=C(C=C1)N2C(SCC2=O)C3=CC(=CC=C3)Br)OC,MVWNPZYLNLATCH-UHFFFAOYSA-N,50,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,B8,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,CK-869,3574452,COC1=CC(=C(C=C1)N2C(SCC2=O)C3=CC(=CC=C3)Br)OC,MVWNPZYLNLATCH-UHFFFAOYSA-N,50,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,B9,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,CK-869,3574452,COC1=CC(=C(C=C1)N2C(SCC2=O)C3=CC(=CC=C3)Br)OC,MVWNPZYLNLATCH-UHFFFAOYSA-N,50,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,C1,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Y-27632,448042,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,IYOZTVGMEWJPKR-VOMCLLRMSA-N,5,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,C2,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Y-27632,448042,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,IYOZTVGMEWJPKR-VOMCLLRMSA-N,5,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,C3,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Y-27632,448042,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,IYOZTVGMEWJPKR-VOMCLLRMSA-N,5,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,C4,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Y-27632,448042,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,IYOZTVGMEWJPKR-VOMCLLRMSA-N,10,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,C5,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Y-27632,448042,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,IYOZTVGMEWJPKR-VOMCLLRMSA-N,10,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,C6,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Y-27632,448042,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,IYOZTVGMEWJPKR-VOMCLLRMSA-N,10,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,C7,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Y-27632,448042,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,IYOZTVGMEWJPKR-VOMCLLRMSA-N,25,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,C8,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Y-27632,448042,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,IYOZTVGMEWJPKR-VOMCLLRMSA-N,25,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,C9,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Y-27632,448042,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,IYOZTVGMEWJPKR-VOMCLLRMSA-N,25,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,D1,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Wiskostatin,2775510,CN(C)CC(CN1C2=C(C=C(C=C2)Br)C3=C1C=CC(=C3)Br)O,XUBJEDZHBUPBKL-UHFFFAOYSA-N,10,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,D2,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Wiskostatin,2775510,CN(C)CC(CN1C2=C(C=C(C=C2)Br)C3=C1C=CC(=C3)Br)O,XUBJEDZHBUPBKL-UHFFFAOYSA-N,10,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,D3,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Wiskostatin,2775510,CN(C)CC(CN1C2=C(C=C(C=C2)Br)C3=C1C=CC(=C3)Br)O,XUBJEDZHBUPBKL-UHFFFAOYSA-N,10,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,D4,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Wiskostatin,2775510,CN(C)CC(CN1C2=C(C=C(C=C2)Br)C3=C1C=CC(=C3)Br)O,XUBJEDZHBUPBKL-UHFFFAOYSA-N,50,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,D5,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Wiskostatin,2775510,CN(C)CC(CN1C2=C(C=C(C=C2)Br)C3=C1C=CC(=C3)Br)O,XUBJEDZHBUPBKL-UHFFFAOYSA-N,50,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,D6,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Wiskostatin,2775510,CN(C)CC(CN1C2=C(C=C(C=C2)Br)C3=C1C=CC(=C3)Br)O,XUBJEDZHBUPBKL-UHFFFAOYSA-N,50,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,D7,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Wiskostatin,2775510,CN(C)CC(CN1C2=C(C=C(C=C2)Br)C3=C1C=CC(=C3)Br)O,XUBJEDZHBUPBKL-UHFFFAOYSA-N,100,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,D8,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Wiskostatin,2775510,CN(C)CC(CN1C2=C(C=C(C=C2)Br)C3=C1C=CC(=C3)Br)O,XUBJEDZHBUPBKL-UHFFFAOYSA-N,100,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,D9,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Wiskostatin,2775510,CN(C)CC(CN1C2=C(C=C(C=C2)Br)C3=C1C=CC(=C3)Br)O,XUBJEDZHBUPBKL-UHFFFAOYSA-N,100,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,E1,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Latrunculin B,6436219,CC1CCC2CC(CC(O2)(C3CSC(=O)N3)O)OC(=O)C=C(CCC=C1)C,NSHPHXHGRHSMIK-JRIKCGFMSA-N,0.1,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,E2,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Latrunculin B,6436219,CC1CCC2CC(CC(O2)(C3CSC(=O)N3)O)OC(=O)C=C(CCC=C1)C,NSHPHXHGRHSMIK-JRIKCGFMSA-N,0.1,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,E3,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Latrunculin B,6436219,CC1CCC2CC(CC(O2)(C3CSC(=O)N3)O)OC(=O)C=C(CCC=C1)C,NSHPHXHGRHSMIK-JRIKCGFMSA-N,0.1,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,E4,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Latrunculin B,6436219,CC1CCC2CC(CC(O2)(C3CSC(=O)N3)O)OC(=O)C=C(CCC=C1)C,NSHPHXHGRHSMIK-JRIKCGFMSA-N,0.25,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,E5,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Latrunculin B,6436219,CC1CCC2CC(CC(O2)(C3CSC(=O)N3)O)OC(=O)C=C(CCC=C1)C,NSHPHXHGRHSMIK-JRIKCGFMSA-N,0.25,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
NK cells traitements references Yolla 22112018__2018-11-22T15_58_29-Measurement 1b,E6,Homo sapiens,NCBITaxon,NCBITaxon_9606,"CD16-negative, CD56-bright NK cell",CL,CL_0000938,NK-92,Latrunculin B,6436219,CC1CCC2CC(CC(O2)(C3CSC(=O)N3)O)OC(=O)C=C(CCC=C1)C,NSHPHXHGRHSMIK-JRIKCGFMSA-N,0.25,,,AF 488:actin; DAPI:DNA; AF 555:perforin; Bright-field
